feature,mean_abs_shap
note__sandalowood,0.00010222164219278988
note__passionfruit,0.00010210408842915573
note__sugar,0.00010110545879744097
note__white amber,0.00010103820148419846
note__artemisia,0.00010101371159075659
note__oak moss,0.00010085598634561591
note__balsam fir,9.944475402001357e-05
note__bitter almond,9.906400614746955e-05
note__fruity notes,9.89809549372841e-05
note__coffee,9.873694019674477e-05
country_Latvia,9.675866580056748e-05
note__cypriol oil or nagarmotha,9.653751883390131e-05
note__hazelnut,9.622331371376406e-05
note__sea water,9.518467781603647e-05
note__red berries,9.456640539973914e-05
note__mango,9.142823976860205e-05
note__elemi,9.079732844820699e-05
note__may rose,9.014052617911849e-05
note__fruits,8.902399831006903e-05
note__clove,8.869048435485614e-05
note__french labdanum,8.76084529000866e-05
note__birch,8.550161985018297e-05
note__sea salt,8.498294244286822e-05
note__whipped cream,8.381425067299361e-05
note__coconut milk,8.339641187669934e-05
note__granny smith apple,8.331520274010496e-05
note__spices,8.312872788430664e-05
country_Japan,8.09218662600803e-05
note__tolu balsam,8.042598469951129e-05
country_Turkey,8.026308663682394e-05
note__red currant,7.321813636564939e-05
note__bay leaf,7.261288460774753e-05
note__violet leaves,7.101774346797349e-05
note__dark chocolate,6.990806408222508e-05
note__sicilian bergamot,6.972667193745792e-05
note__sweet pea,6.540215942793744e-05
note__rose petals,6.523411390315998e-05
note__white peach,6.308851267037594e-05
note__palisander rosewood,6.1917362743782e-05
note__cherry,6.110823885315194e-05
note__vanila,5.962469310299577e-05
note__pomegranate,5.8298552167694424e-05
note__green mandarin,5.7141484397889144e-05
note__driftwood,5.5203157421595575e-05
note__green apple,5.3479848301876715e-05
note__pine tree,5.340276475014944e-05
note__thyme,5.1788543283942376e-05
note__lemon verbena,5.0917340444584416e-05
note__big strawberry,4.9268183422732416e-05
note__civet,4.919515048488196e-05
note__myrhh,4.9192599141853e-05
note__guava,4.835816646280253e-05
note__marshmallow,4.290694725803334e-05
note__green leaves,4.230593524237293e-05
note__blueberry,4.2238279241728025e-05
country_Switzerland,4.098425168184279e-05
note__white wood,4.076043596739636e-05
note__watermelon,4.043808630437948e-05
note__peach blossom,4.039770065442539e-05
note__chamomile,4.018663061470438e-05
note__blood orange,4.013686839037252e-05
note__australian sandalwood,4.0134961010013015e-05
note__carrot seeds,3.7956505933648824e-05
note__indian jasmine,3.676753769054087e-05
note__papyrus,3.634754043622065e-05
note__sicilian lemon,3.5142453811493866e-05
note__beeswax,3.455778753987359e-05
note__white cedar extract,3.329605279783749e-05
note__nectarine,3.3091498675746894e-05
note__flowers,3.3071833567133947e-05
note__gurjan balsam,3.285497294426805e-05
note__tobacco leaf,3.269575248832581e-05
note__castoreum,3.2634995222127846e-05
note__champaca,3.253647268248848e-05
note__yuzu,3.1225570889334124e-05
note__sour cherry,3.0350285831451348e-05
note__wormwood,3.021206514010702e-05
note__wild berries,2.9548581600339936e-05
note__tarragon,2.8821901636086763e-05
note__herbal notes,2.8064965160917704e-05
note__brazilian rosewood,2.7621050820424958e-05
note__bamboo,2.7322789913912082e-05
note__fig leaf,2.6418286920594217e-05
note__myrtle,2.6244910244281314e-05
note__atlas cedar,2.5544491743471024e-05
note__kumquat,2.3601659939144168e-05
note__sweet notes,2.2555610473557763e-05
note__vetyver,2.1685207927489784e-05
